# LSV-Names	Median-Attributions	Corrected P-values (FDR <= 1%)
ENSG00000107036	0.00039678527314127954	2.1811161858461373e-118
ENSG00000178623	0.0003876134159182263	2.2544583292216104e-118
ENSG00000171747	7.89684154758633e-05	2.6053972403942107e-118
ENSG00000111961	5.1914995694990675e-05	2.6363175122834552e-118
ENSG00000103222	3.024720268454851e-05	3.2819646265176273e-118
ENSG00000064225	0.0002910690838162332	3.4500584840983834e-118
ENSG00000138641	-0.0001306065350724788	3.913091701375971e-118
ENSG00000186951	-7.917543651102114e-05	5.587754631080192e-118
ENSG00000167037	-0.00040797102870821547	6.170228556809522e-118
ENSG00000116729	0.00019550559817264047	6.76590745115962e-118
ENSG00000069122	0.00013122734666422351	8.210772159361319e-118
ENSG00000131042	0.00020647646116509166	1.0276658302451349e-117
ENSG00000172113	-0.00026107163326807555	1.3339182553601888e-117
ENSG00000173077	0.0002295035590672228	1.51713798601294e-117
ENSG00000198625	0.0005476777924412506	1.5538913815937842e-117
ENSG00000155827	-0.0003576199369275924	2.027236146037219e-117
ENSG00000197471	-0.00021741880675450314	2.4761426444750247e-117
ENSG00000100767	0.000494603063666471	2.8297126728226188e-117
ENSG00000128487	0.00034943089590389954	3.1216278208725418e-117
ENSG00000122008	6.604446012182468e-05	4.901986304355849e-117
ENSG00000150760	-3.290882007339534e-05	5.3338259469843304e-117
ENSG00000152223	-0.00025399187179199343	5.7935956507690115e-117
ENSG00000117114	0.0002736844634325129	1.0409176189231118e-116
ENSG00000173269	-9.449449296870569e-05	1.1854966118486651e-116
ENSG00000187486	-0.00028756611046352093	1.2184045892967688e-116
ENSG00000123130	0.0005812482273599816	1.351855377833897e-116
ENSG00000008294	0.00015829936662546532	1.515290959217532e-116
ENSG00000184060	-0.00021025266534464068	2.5150929728659824e-116
ENSG00000144488	-0.00015703347738098844	3.178598357633246e-116
ENSG00000186642	9.611634120420344e-05	6.917840491281919e-116
ENSG00000114166	3.151361422647739e-05	1.2368590617691303e-115
ENSG00000250722	-8.63978633480106e-05	1.240723768874055e-115
ENSG00000184371	0.00019893418913036887	1.3763309829120156e-115
ENSG00000167981	0.00016511380202812766	1.6059799313982412e-115
ENSG00000147113	-5.518063235721743e-05	1.6357194241193478e-115
ENSG00000154429	-0.0004068300753887843	3.215583206042781e-115
ENSG00000175048	0.0003405962227810993	3.3946144592121194e-115
ENSG00000184185	-0.00023216084980291592	5.186632680114445e-115
ENSG00000121039	0.0004161040728161462	6.293098687133297e-115
ENSG00000182093	0.00033543441290617167	1.1120908703697862e-114
ENSG00000087206	0.00017001603540118347	2.271304880440411e-114
ENSG00000110497	-0.00018878520968084608	3.511832232710653e-114
ENSG00000134352	9.551415728435018e-05	5.099921460876707e-114
ENSG00000060749	-0.00021972783857659696	5.707041850151482e-114
ENSG00000144674	-0.00021512659582661689	6.64251777547654e-114
ENSG00000158406	0.0002240699897958185	7.169013074206684e-114
ENSG00000162367	2.6261373781049496e-05	7.198813711164553e-114
ENSG00000184220	0.00031509779829003284	7.781647513680992e-114
ENSG00000139117	0.0003442032723842912	1.6122093723292758e-113
ENSG00000112293	-0.0003570739929095146	1.6978668853777972e-113
ENSG00000204381	-0.00010179524647653471	1.912987146917779e-113
ENSG00000243667	-0.0003791553263069565	4.340682433761933e-113
ENSG00000172985	0.0001983009698647074	5.391626664319932e-113
ENSG00000165688	0.00045378153056245253	5.439476974686096e-113
ENSG00000080573	-1.4919710935202502e-05	5.895055039251934e-113
ENSG00000107104	0.00019136500712658096	6.69999646446118e-113
ENSG00000101972	1.688083163268686e-05	1.4420746381276732e-112
ENSG00000166292	3.077301150742882e-05	2.0395771004893035e-112
ENSG00000046647	0.0005148542092152631	2.0466729842245745e-112
ENSG00000122547	4.582296077921071e-05	2.1760391114647577e-112
ENSG00000135899	0.00016068879901492267	2.6667761035683873e-112
