# Gene-Names	Median-Attributions	Corrected P-values (FDR <= 1%)
ENSG00000163702	0.00037063204973840743	1.045954957876619e-102
ENSG00000175471	0.00025647618579460496	1.152365559066783e-101
ENSG00000080603	-0.0002275666863434092	1.3072362004833273e-101
ENSG00000197343	0.0006315876275933119	3.95997681097403e-101
ENSG00000172264	0.0004545903513103492	1.6404872308917357e-100
ENSG00000184185	-0.0002557910436383958	2.791226768573637e-100
ENSG00000107560	0.0002622125357320823	5.715517455548914e-100
ENSG00000149716	0.0005769852661386385	1.0201909406374976e-99
ENSG00000205213	-0.000267977143836394	2.1261058501430423e-99
ENSG00000126947	0.0003531032384055084	2.9539180405911867e-99
ENSG00000169554	0.00024377241295791142	4.589788341088234e-99
ENSG00000137962	0.00027507942875395054	4.9599928132307366e-99
ENSG00000119042	0.00047595899402386475	8.31279605206575e-99
ENSG00000120008	0.0003963863350251485	1.110249279802341e-98
ENSG00000066294	0.00011269616647211899	1.2483704543565106e-98
ENSG00000118526	0.00031541459419077636	1.7659777796123905e-98
ENSG00000154767	-3.103263330502202e-05	3.733008547628705e-98
ENSG00000188677	0.00034436895894798364	3.8983519281188324e-98
ENSG00000198836	-0.000293986165039394	5.5633451362442025e-98
ENSG00000168916	-5.716912971461892e-06	7.635025816250977e-98
ENSG00000119865	0.00019703419954740278	1.0757750964583699e-97
ENSG00000109756	0.0002839968121389158	3.322958126747329e-97
ENSG00000196782	-0.0004680828463653699	6.163227360208842e-97
ENSG00000165868	0.00039184043119812486	6.753491826688147e-97
ENSG00000243207	0.0004425669404817225	4.566352361470283e-96
ENSG00000197548	0.0004055981096031528	1.2268940559917154e-95
ENSG00000182218	0.00034791582880555746	1.6370473110534446e-95
ENSG00000158092	0.00029032573540409816	2.5692938700372315e-95
ENSG00000100697	0.00039419860955909933	1.40080812841397e-94
ENSG00000178385	-0.00023294173490332802	1.4522704381226754e-94
ENSG00000177984	0.00020161278518122588	7.061203258371106e-94
ENSG00000161558	0.0003418444829397054	3.0243549372849696e-93
ENSG00000171608	0.0002343795140781881	3.062739450731717e-93
ENSG00000271601	0.00022772232220512605	3.2925598585886163e-93
ENSG00000168172	0.0004656703043913395	8.780888416292755e-93
ENSG00000198121	0.00033094432851897326	1.320582491396612e-92
ENSG00000166292	0.00011660298707722049	1.621033825790529e-92
ENSG00000151702	5.592418731392724e-05	1.6253127791967898e-92
ENSG00000203668	0.00022460822690390599	1.7721128236271873e-92
ENSG00000113971	0.00043072657113444815	1.989711184575957e-92
ENSG00000123600	0.00016733888816891464	2.651394441919027e-92
ENSG00000073712	0.00025986081324497705	5.722661154944925e-92
ENSG00000163867	0.0006685459884326566	6.7262526994082e-92
ENSG00000103047	-0.0002551614128735218	1.6279741363654335e-91
ENSG00000136051	0.00022395160168948115	2.2522360743506723e-91
ENSG00000181264	0.0004399596684277635	3.358732699560553e-91
ENSG00000130558	3.800964630683295e-05	3.5129596206308315e-91
ENSG00000074660	0.00024845197125665926	4.7208723238759984e-91
ENSG00000227124	0.00039691283187880913	7.279135929667702e-91
ENSG00000117114	0.0004924074083220919	8.063663246963038e-91
